轉換前	轉換後
阿不福思	阿不福思鄧不利多
鄧不利多	阿不思鄧不利多
阿不思	阿不思鄧不利多
穆敵	阿拉特穆敵
阿拉特	阿拉特穆敵
瘋眼	阿拉特穆敵
瘋眼穆敵	阿拉特穆敵
巴堤	巴堤柯羅奇
柏莎	柏莎喬金
喬金	柏莎喬金
貝拉	貝拉雷斯狀
特里克斯	貝拉雷斯狀
貝拉特里克斯	貝拉雷斯狀
比爾	比爾衛斯理
佩迪魯	彼得佩迪魯
彼得	彼得佩迪魯
查理	查理衛斯理
達力	達力德思禮
丁	丁湯馬斯
湯馬斯	丁湯馬斯
弗雷	弗雷衛斯理
哈利	哈利波特
花兒	花兒戴樂古
洛哈	吉德羅洛哈
吉德羅	吉德羅洛哈
佳兒	佳兒戴樂古
金利	金利俠鉤帽
俠鉤帽	金利俠鉤帽
金妮	金妮衛斯理
康尼留斯	康尼留斯夫子
夫子	康尼留斯夫子
路平	雷木思路平
喬丹	李喬丹
李	李喬丹
莉莉	莉莉波特
麗塔	麗塔史譏
史譏	麗塔史譏
昆爵	盧夫昆爵
盧夫	盧夫昆爵
海格	魯霸海格
魯霸	魯霸海格
露娜	露娜羅古德
瑪姬	瑪姬德思禮
美黛	美黛東施
妙麗	妙麗格蘭傑
格蘭傑	妙麗格蘭傑
茉莉	茉莉普瑞
奈威	奈威隆巴頓
勒梅	尼樂勒梅
潘妮	潘妮清水
清水	潘妮清水
潘西	潘西帕金森
德思禮太太	佩妮德思禮
佩妮	佩妮德思禮
喬治	喬治衛斯理
榮恩	榮恩衛斯理
石內卜	賽佛勒斯石內卜
賽佛勒斯	賽佛勒斯石內卜
水仙	水仙馬份
瑞斗	湯姆瑞斗
湯姆	湯姆瑞斗
桃樂絲	桃樂絲恩不理居
恩不理居	桃樂絲恩不理居
天狼星	天狼星·布萊克
布萊克	天狼星·布萊克
德思禮先生	威農德思禮
喀浪	維克多喀浪
維克多	維克多喀浪
文妲	文妲布朗
布朗	文妲布朗
特裡勞妮	西碧崔老妮
西碧	西碧崔老妮
西碧特裡勞妮	西碧崔老妮
西莫	西莫斐尼干
斐尼干	西莫斐尼干
桃樂絲	西追迪哥里
小巴堤	小巴堤柯羅奇
小仙女	小仙女東施
東施	小仙女東施
亞瑟	亞瑟衛斯理
卡卡夫	伊果卡卡夫
贊諾	贊諾羅古德
詹姆	詹姆波特
跩哥	跩哥馬份
馬份	跩哥馬份
